公司名称,批次,车牌号,发动机号,汽缸1编号,汽缸2编号
深圳市通谦物流有限公司,1,粤BX4262,,CP450C-13165-82,14P500-324-03
深圳市通谦物流有限公司,1,粤BX4268,,CP450C-13159-47,14P500-324-28
深圳市通谦物流有限公司,1,粤BX4281,,CP450C-13155-10,14P500-324-33
深圳市通谦物流有限公司,1,粤BX4282,,CP450C-13155-17,14P500-324-35
深圳市通谦物流有限公司,1,粤BX4286,,CP450C-13155-04,14P500-324-07
深圳市通谦物流有限公司,1,粤BX4290,,CP450C-13162-89,14P500-320-20
深圳市通谦物流有限公司,1,粤BX4296,,CP450C-13178-29,14P500-324-34
深圳市通谦物流有限公司,1,粤BX4299,,CP450C-13177-60,14P500-392-28
深圳市福盈混凝土有限公司,1,粤BX4300,,CP450C-13177-32,14P500-320-27
深圳市福盈混凝土有限公司,1,粤BX4301,,CP450C-13177-68,14P450-05-37
深圳市福盈混凝土有限公司,1,粤BX4302,,CP450C-13177-97,14P450-06-25
深圳市周源建材有限公司,1,粤BX4303,,CP450C-13177-84,13P450L-262-28
深圳市周源建材有限公司,1,粤BX4304,,CP450C-13177-79,13P450L-262-06
深圳市周源建材有限公司,1,粤BX4305,,CP450C-13177-96,13P450L-262-23
深圳市周源建材有限公司,1,粤BX4306,,CP450C-13177-86,13P450L-248-15
深圳市周源建材有限公司,1,粤BX4307,,CP450C-13177-17,13P450L-263-38
深圳市周源建材有限公司,1,粤BX4308,,CP450C-13177-01,13P450L-262-26
